PLAYER,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%,+/-
Justin Herbert,LAC,2.67,7.5,8.1,-0.6,5.6,50.9,-0.5,36,346,2,0,125.2,77.8,70.5,7.2
Jimmy Garoppolo,LAR,2.66,3.8,4.9,-1.1,22,42.4,-2.5,41,334,2,1,97,65.9,65.2,0.7
Joshua Dobbs,SF,2.66,7.6,7.1,0.5,18.6,44.4,-2.2,43,326,2,2,86,67.4,67.6,-0.2
Bo Nix,DEN,2.79,4.5,5.2,-0.7,13.8,54.3,-4.1,29,321,4,0,152.4,89.7,74.4,15.3
Michael Penix Jr.,ATL,2.68,11.2,11.5,-0.2,15.8,49.2,1.1,38,312,2,1,88.9,55.3,64.7,-9.4
Joe Burrow,CIN,2.53,4,4.3,-0.3,15.2,39.6,-3.9,46,277,1,1,89.9,80.4,71.6,8.8
Aaron Rodgers,NYJ,3.12,5.9,6.4,-0.5,13.9,44,-2.2,36,274,4,1,112.5,63.9,68.1,-4.2
Tanner McKee,PHI,2.63,5.5,6.5,-1,14.6,33.5,-2.9,41,269,2,0,100.6,65.9,70.3,-4.4
Joe Flacco,IND,2.81,7.4,9.4,-2,22.5,44.9,1.6,40,264,1,0,85.8,57.5,62.1,-4.6
Bryce Young,CAR,2.94,5.7,8.2,-2.4,14.7,37.1,0,34,251,3,0,123.5,73.5,70.3,3.2
Trey Lance,DAL,2.49,5.2,8.2,-3,14.7,31.5,-1.2,34,244,0,0,81,58.8,63.3,-4.5
Kyler Murray,AZ,2.57,5,7,-2,14.3,33.7,-1,35,242,4,0,128.5,71.4,65.5,5.9
Joe Milton III,NE,3.63,7.8,10.5,-2.7,24.1,36.2,1.2,29,241,1,0,111.4,75.9,56.2,19.7
Spencer Rattler,NO,2.81,3.9,8.3,-4.4,14.3,28.2,-0.2,42,240,1,0,85.4,61.9,60.7,1.2
Jared Goff,DET,2.7,4,4.9,-0.9,3,31.7,-3.2,33,231,1,2,80.7,81.8,73.7,8.2
Tyler Huntley,MIA,2.9,5.4,7.1,-1.7,14.6,31.7,-1.7,41,227,1,2,63.8,61,60.7,0.3
Mac Jones,JAX,2.79,6.2,8.2,-2.1,15.6,42.8,-1.7,32,225,1,1,80.9,62.5,68.5,-6
Geno Smith,SEA,2.68,5.2,8.1,-2.9,18.5,28.9,0.4,27,223,4,0,137.8,74.1,69.2,4.8
Baker Mayfield,TB,3.02,9,8.3,0.7,12.5,43.8,-1.4,32,221,2,1,93.4,65.6,62.2,3.4
Lamar Jackson,BAL,3.06,7.9,9.3,-1.4,18.8,35.8,0.9,32,217,2,0,92.8,50,62.2,-12.2
Aidan O'Connell,LV,2.66,6.9,9.2,-2.3,26.5,40,0.7,34,214,2,1,94.5,70.6,62,8.6
Will Levis,TEN,2.56,13.1,14.5,-1.4,29.4,54.3,5,17,175,1,0,108.7,52.9,58.1,-5.1
Bailey Zappe,CLE,2.72,3.7,7.1,-3.5,29,26.5,-1.3,31,170,1,2,51.8,51.6,63.5,-11.9
Sam Darnold,MIN,3.18,2.5,7.9,-5.4,22,30.8,-0.9,41,166,0,0,55.5,43.9,58.7,-14.8
Marcus Mariota,WAS,2.19,7,9.4,-2.4,33.3,39.3,0.9,18,161,2,0,141,83.3,61.6,21.7
Russell Wilson,PIT,2.47,4.9,6.7,-1.8,12.9,42,-3,31,148,1,0,78.4,54.8,64.6,-9.8
Caleb Williams,CHI,3.19,2,1.9,0.1,6.9,28.1,-8.3,29,148,1,0,95.2,72.4,62,10.4
Drew Lock,NYG,2.43,1.6,3.5,-1.9,6.9,40.3,-5,29,138,1,1,82.3,75.9,76.2,-0.4
Davis Mills,HOU,2.6,7.5,7,0.5,31.8,29.5,-1,22,128,0,0,71.8,54.5,58.4,-3.8
Mitchell Trubisky,BUF,2.58,2,6.4,-4.5,14.3,29.6,-2.3,21,101,1,0,97.5,71.4,67.4,4
Carson Wentz,KC,2.42,3.7,6.5,-2.7,11.8,28.3,-2.1,17,98,0,0,75.1,58.8,65,-6.2
