PLAYER,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Matthew Stafford,LAR,2.75,8.4,10.6,-2.2,17,53.3,2.2,47,389,3,0,111,63.8,66,-2.2
Baker Mayfield,TB,2.96,6.4,7.2,-0.8,6.1,61.1,-2.6,33,379,2,0,134.7,87.9,72.3,15.6
Mac Jones,SF,2.56,4.5,5.8,-1.3,8.2,40.8,-2.8,49,342,2,0,100.9,67.3,71.1,-3.8
Sam Darnold,SEA,2.88,8.8,8.5,0.3,17.6,54.8,0.2,34,341,4,1,135.4,82.4,57.6,24.8
Patrick Mahomes,KC,2.88,5.2,9.4,-4.3,19.5,42.5,0.3,41,318,1,1,91.3,70.7,68.7,2
Justin Fields,NYJ,2.9,5.3,6.6,-1.2,19.6,31.6,-2.6,46,283,2,0,100.2,69.6,63.8,5.7
Jalen Hurts,PHI,3.09,6.6,10.8,-4.3,18.4,54.7,1.7,38,280,2,0,100.8,60.5,58.1,2.4
Drake Maye,NE,3.17,7.9,7.8,0.1,16.7,38,-1.7,30,273,0,0,101.1,73.3,60.5,12.8
Cam Ward,TEN,2.93,8.6,10.9,-2.3,12.8,46.3,2.4,39,265,0,1,64.6,53.8,58.7,-4.8
Jared Goff,DET,2.6,4.6,4.8,-0.3,4.3,32.5,-3.9,23,258,3,0,153,82.6,76.9,5.7
Tua Tagovailoa,MIA,2.54,7,8.6,-1.6,11.1,47.7,-0.4,36,256,3,0,122,75,65.3,9.7
Josh Allen,BUF,3.27,7.2,8.6,-1.4,19.4,35.1,0.3,31,253,2,1,103.3,71,61.9,9.1
Jake Browning,CIN,2.92,6.2,8.7,-2.5,25,54.6,-0.4,40,251,3,3,76.1,65,62.8,2.2
C.J. Stroud,HOU,2.49,7.3,7.5,-0.2,11.1,51,-0.6,27,244,4,0,143.9,85.2,69.1,16
Bo Nix,DEN,2.68,4.5,8.9,-4.4,7.7,34.5,-0.3,39,242,1,0,87.8,61.5,60.5,1
Dak Prescott,DAL,2.72,6.3,8.1,-1.7,31,56.3,0,29,237,4,0,127.4,62.1,54.8,7.2
Carson Wentz,MIN,2.43,3.7,5.8,-2.1,11.8,36.3,-2.6,34,236,1,0,102.1,73.5,72.4,1.1
Jayden Daniels,WAS,2.92,8.3,10.1,-1.9,15.4,55,0.5,26,231,1,0,100,57.7,56.4,1.3
Geno Smith,LV,2.49,4.3,7.7,-3.4,22.2,45.8,-1.6,36,228,0,2,63.2,69.4,66.1,3.3
Spencer Rattler,NO,2.62,5.6,6.7,-1,22.6,51.7,-3,31,225,1,0,99.5,67.7,65.7,2.1
Trevor Lawrence,JAX,2.75,6.6,8.1,-1.6,24,45.9,-2,25,221,1,1,95.6,72,60.9,11.1
Kyler Murray,AZ,2.89,4.4,7.1,-2.7,12.9,48.2,-2,31,220,0,0,93.5,74.2,67.4,6.8
Daniel Jones,IND,2.55,7.5,8.2,-0.8,10.3,43.8,-0.4,29,212,2,0,113,69,68.5,0.4
Jaxson Dart,NYG,2.93,3,8.5,-5.5,7.5,31.6,-1.3,40,202,2,2,73.1,65,68.8,-3.8
Bryce Young,CAR,2.77,6.7,9.2,-2.5,16.7,33.8,1.5,30,198,2,1,90.7,63.3,57.1,6.2
Dillon Gabriel,CLE,2.54,3.8,5.8,-2,3,28,-4.5,33,190,2,0,94.3,57.6,64,-6.4
Cooper Rush,BAL,2.56,6.6,7.6,-0.9,20,50.1,-1.7,20,179,0,3,58.1,70,64.9,5.1
Justin Herbert,LAC,2.68,3.1,4.5,-1.4,6.9,26.5,-3.9,29,166,1,1,86.3,75.9,71.6,4.2
