#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
1,Josh Allen,QB,BUF,12,23.7,22.3,36.5,29,14.9,25,30.1,26,16.4,23.5,40.7,BYE,21.5,16.2,26,22.2,25.1,24.2,410.6
2,Jalen Hurts,QB,PHI,12.5,26.2,21.9,24.2,28,22.9,24,27.4,26,BYE,19.9,35.5,23.9,8.9,23.9,24.4,20.2,1.6,21.9,371.8
3,Dak Prescott,QB,DAL,6.3,19.6,15.4,14.3,7,24.9,BYE,29.1,28,38.9,16.2,32.2,28.3,17.9,7.1,18.6,21.3,26.2,20.7,351.8
4,Lamar Jackson,QB,BAL,7.6,22.9,28.2,28.1,11,18.1,34,12,12,15,24,15,BYE,32.6,19.5,22.6,36.3,-,21.1,338.2
5,Jordan Love,QB,GB,23,20.3,25.3,19.6,8,BYE,16,15.6,14,18.7,20.9,26.6,23.7,9.9,17.5,24,28.4,18.5,19.4,330.1
6,Brock Purdy,QB,SF,16.8,14.7,20.3,21.3,26,8.7,15,20.3,BYE,23.8,26.7,11.5,29.5,22.4,25.7,6.4,17.6,-,19.2,306.6
7,Jared Goff,QB,DET,14,23.9,19,12.4,27,22.4,10,13.7,BYE,21.1,16.7,18.2,16.3,6.4,31.1,14.3,12.8,20.8,17.7,301.1
8,Patrick Mahomes II,QB,KC,20.5,22.2,25.7,15.2,19,18.3,35,7.6,16,BYE,17.9,20.8,14,14.6,17.7,17.7,12,-,18.4,294.2
9,Tua Tagovailoa,QB,MIA,28.1,13.3,28.4,15,18.9,22.5,11,22.8,12,BYE,18.6,9.8,19.2,9.1,13,15.5,16.9,9.6,16.7,284.4
10,Baker Mayfield,QB,TB,16,18.4,11,23.9,BYE,7.8,17,21.4,19,19.3,11.3,14.4,10.9,20.1,29,19.8,18.3,6.2,16.7,284.1
11,C.J. Stroud,QB,HOU,9.7,21.5,20.6,21.8,14,15.2,BYE,12.9,42,20,18.3,30.9,16.1,3.6,-,-,12.9,20.6,18.7,280
12,Sam Howell,QB,PHI,16.2,21.3,4.6,19.6,26,18.3,11,32,19,24.2,20.7,18.3,20.2,-,9.3,0.2,8.7,8.4,16.3,277.5
13,Trevor Lawrence,QB,JAC,18.7,9.2,15.4,16.5,15.7,15.7,18.1,15.7,BYE,4.1,32.2,25.6,25.1,20.4,14.7,11.3,-,18.2,17.3,276.5
14,Russell Wilson,QB,NYG,15.2,26.9,15.2,22.2,18.7,8.9,14,17.6,-,18.7,14.5,16.8,18.8,16.5,17.5,23.5,-,-,17.7,264.9
15,Matthew Stafford,QB,LAR,14.5,16,13.5,17.2,16.9,13.2,15,12.4,-,BYE,10.7,24.4,23,23.7,18.5,20.7,14.6,-,16.9,254.1
16,Derek Carr,QB,FA,15.6,7.7,8.1,3.2,16,17.3,18,18.3,17,5.4,-,11.9,9.9,11.8,20.3,26,15.6,27.2,14.7,249.1
17,Justin Herbert,QB,LAC,20.9,22.2,29.3,24.4,BYE,19.1,13,24,7,29.4,25.7,14.4,8,2.8,-,-,-,-,18.5,240.2
