#,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,AVG,TTL
1,Josh Allen,QB,BUF,15,38.8,11.8,23,25.9,20.4,17.4,BYE,23.2,28.8,20.3,44.7,10.1,17.7,37.8,24.5,6.9,23.4,351.4
2,Matthew Stafford,QB,LAR,15,13.6,18.3,14.8,27.4,25.6,9.3,27.4,BYE,26.8,26.9,13.2,22.9,13.6,23.2,21.9,30.9,21.1,316
2,Patrick Mahomes II,QB,KC,14,26,23.1,13.2,27.3,27.7,31.5,26.2,25,11.5,BYE,14.3,18.1,29.4,8.3,14.1,-,21.1,295.7
4,Drake Maye,QB,NE,15,15.8,26.3,20.2,23.2,12.1,27.2,23.1,27.3,17.4,19.1,15.4,17,20.5,BYE,21.5,24.7,20.7,310.8
5,Brock Purdy,QB,SF,7,18.8,-,-,19.7,-,-,-,-,-,-,19.3,10.3,17.1,BYE,26.2,31.9,20.5,143.3
6,Trevor Lawrence,QB,JAC,15,11.3,21.2,8.8,11.7,27.2,19.2,17.6,BYE,22.2,10.8,16,20.1,21.7,19.4,44.3,31.2,20.2,302.8
7,Dak Prescott,QB,DAL,15,7.8,23.1,14,31,28.3,22.3,23.3,8.6,16.4,BYE,24.3,28.1,21.6,20.4,12,19.2,20,300.4
8,Jalen Hurts,QB,PHI,15,24.3,11.5,29,19.4,19.5,21.6,24,25.4,BYE,12,14.5,30.9,17.3,4.4,22.9,19.4,19.7,296.2
9,Bo Nix,QB,DEN,15,8.8,21.2,13.4,26.7,17.9,13.4,40,24.8,19.5,7.8,12.6,BYE,17.4,16,29.1,16.2,19,284.8
9,Jared Goff,QB,DET,15,11.9,34,12.7,13.7,20.1,16.8,11.3,BYE,19.4,24.8,13.1,18.2,20.6,16.2,25.5,26.5,19,284.7
11,Justin Herbert,QB,LAC,15,27.9,18.8,15.6,14.5,15.6,18.8,29.9,26.3,28.7,14.7,4.3,BYE,13.8,13.2,11.4,30.2,18.9,283.7
12,Caleb Williams,QB,CHI,15,24.2,18,29.1,12.8,BYE,19.9,5.7,12.8,36.7,25.1,10.3,21.7,10.5,15.9,19,21,18.8,282.6
13,Daniel Jones,QB,IND,13,29.5,22.8,15.8,12.4,16.7,23.5,22.2,23.2,17.1,16.5,BYE,16.8,16.1,1.8,-,-,18,234.4
14,Jacoby Brissett,QB,ARI,12,-,0.2,-,-,0,21.7,19.8,BYE,24.8,19.4,23.9,18.7,20.6,20,21.6,11.6,16.9,202.3
15,Jaxson Dart,QB,NYG,12,-,-0.3,0.3,19.8,17.6,23.6,29.4,19.4,27.2,26.3,-,-,13.6,BYE,23.1,1,16.8,201.1
15,Jayden Daniels,QB,WAS,7,20.1,19.7,-,-,17.1,22.6,17.7,-,16.2,-,-,BYE,-,3.7,-,-,16.8,117.3
17,Lamar Jackson,QB,BAL,12,29.4,26.3,27,11.7,-,-,BYE,-,25.6,16.6,6.7,7.2,7.5,22.1,15.6,4.7,16.7,200.4
18,Baker Mayfield,QB,TB,15,22.6,19.9,17.7,19.9,26.7,19.6,12.1,4.1,BYE,22.9,17.8,5.5,14.5,12.1,20.2,13.7,16.6,249.3
19,Joe Burrow,QB,CIN,6,8.8,7,-,-,-,-,-,-,-,BYE,-,-,19.2,25.4,7.5,29,16.2,96.9
19,Kyler Murray,QB,ARI,5,18.3,15,14.1,18.1,15.3,-,-,BYE,-,-,-,-,-,-,-,-,16.2,80.8
21,Jordan Love,QB,GB,15,15.9,20.9,12.1,26.3,BYE,16,13.4,28.3,10,7.8,17.7,7.1,25.8,20.3,15.9,3.8,16.1,241.1
22,Justin Fields,QB,NYJ,9,29.5,4,-,27.1,25.9,4.9,4,20.9,BYE,8,19.3,-,-,-,-,-,16,143.7
23,Sam Darnold,QB,SEA,15,5.4,17.8,16.7,16.1,28.6,20,9.6,BYE,28.2,5.9,8.3,17.7,3.1,23.3,11.3,21.5,15.6,233.5
24,C.J. Stroud,QB,HOU,12,9.7,15,12.4,18.4,28.8,BYE,14.7,22.7,4.4,-,-,-,10,12.6,23.4,11.5,15.3,183.5
25,Carson Wentz,QB,MIN,5,-,-,15.3,23.2,14.7,BYE,13.3,8.8,-,-,-,-,-,-,-,-,15.1,75.3
26,Aaron Rodgers,QB,PIT,14,25.7,12.4,12.7,12.8,BYE,17.5,24.6,16.8,12.1,8.4,9.4,-,2.7,20.5,17,15.5,14.9,208
27,Jameis Winston,QB,NYG,3,-,-,-,-,-,-,-,-,-,-,12,32.2,-,BYE,0,-,14.8,44.3
28,Bryce Young,QB,CAR,14,10.2,22.3,11.6,10.3,13,19.5,10.5,-,4,2.6,31.8,10.3,22.5,BYE,15.4,17.6,14.4,201.6
28,J.J. McCarthy,QB,MIN,9,23.2,4.8,-,-,-,BYE,-,-,19.9,16.7,8,2.5,-,20.4,24.5,9.3,14.4,129.4
30,Joe Flacco,QB,CIN,11,14.2,9.8,4.7,3.3,-,18.8,26,24.3,32.7,BYE,10.9,10.6,-,-,-,0.2,14.1,155.3
31,Michael Penix Jr.,QB,ATL,9,24,5.3,5.8,19.7,BYE,14.6,12.2,-,22.7,11,7.9,-,-,-,-,-,13.7,123.3
32,Davis Mills,QB,HOU,5,-,-,-,-,1.2,BYE,-,-,6.2,28.7,16.4,14.5,-,-,-,-,13.4,67
33,Tyler Shough,QB,NO,9,-,-,0,-,-,-,-,5.3,10.2,19,BYE,8.9,18.4,22.3,18.1,17.1,13.3,119.3
34,Shedeur Sanders,QB,CLE,6,-,-,-,-,-,-,-,-,BYE,-,2.5,11.3,10.6,34.5,6.5,13.2,13.1,78.4
