#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
1,Christian McCaffrey,RB,SF,25.9,22.5,22.9,48.7,14,14.2,23,29.8,BYE,20.2,21.3,30.9,22.3,16.3,41.7,25.1,13.1,-,24.5,391.3
2,Kyren Williams,RB,LAR,17.4,28,8.5,27.7,8,21.8,-,-,-,BYE,-,38.4,20.2,14.3,24.5,16.4,30.1,-,21.3,255
3,Alvin Kamara,RB,NO,-,-,-,21.4,18.7,17.4,29,27,11,18.5,BYE,15.9,28.9,13.5,16,8.5,6.9,-,17.9,233
4,Raheem Mostert,RB,LV,13,25.7,45.2,5.5,16,34.2,6,10.6,15,-,10.3,21.4,12.1,23,18.3,12,-,-,17.8,267.7
5,De'Von Achane,RB,MIA,-,1.9,51.3,27,22,-,-,-,-,BYE,1.5,-,25.3,12.1,9.2,4.1,23.7,13.1,17.3,190.7
6,Breece Hall,RB,NYJ,15.7,0.9,3.7,9.9,28.4,20.3,BYE,21.3,10,10.5,18.3,11.9,10.5,26.6,2.8,43.1,27.6,29,17.1,290.5
7,Travis Etienne Jr.,RB,JAC,21.4,6.2,17.8,10.2,36,23.3,23,25.9,BYE,6.4,8.9,12.6,17.9,17.2,9.9,6.1,25.8,13.7,16.6,282.4
8,Jahmyr Gibbs,RB,DET,8,12.6,9.2,9.1,-,-,28,29.9,BYE,26.2,21.5,11.3,6.4,17.2,24.8,24,5.3,9,16.1,242.1
9,Saquon Barkley,RB,PHI,9.3,27.2,-,-,-,13.8,19,15.8,14,7.1,30,6.2,-,23.1,5.7,19.4,8.8,23.7,15.9,223.2
10,Rachaad White,RB,TB,6.9,21.3,7.2,10.8,BYE,6.8,15.9,17.9,27.9,17.8,17.8,13,19.6,21.5,21.9,19.7,8.6,13.3,15.8,267.9
11,Joe Mixon,RB,HOU,10.3,13.5,14,8.6,13,9.2,BYE,20,18,12.5,21,8,29.7,21.5,15.1,9,18.7,24.7,15.7,267
12,Jonathan Taylor,RB,IND,-,-,-,-,4,11.5,21,10.7,18,14.5,BYE,21.1,-,-,-,10.3,17.4,27.6,15.6,156.4
13,James Conner,RB,ARI,12,16.6,19.6,6.6,4.6,-,-,-,-,7.3,8.3,7.2,22.5,BYE,17.9,22.2,26.3,30.4,15.5,201.5
14,Isiah Pacheco,RB,KC,9.4,8,15.8,24.8,13.4,15.8,16,6.7,6.6,BYE,10.1,25.9,21.3,-,-,10.6,29.5,-,15.3,213.9
15,David Montgomery,RB,DET,13.4,12.4,-,34.1,20.9,4.3,-,-,BYE,17.6,17.8,15.1,12.5,11.5,10.2,14.9,12.5,10,14.8,207.2
16,Derrick Henry,RB,BAL,13.9,18.5,2,24.4,9.2,19.3,-,16.2,19.2,3,5.4,20.6,25,18.1,5,21.4,4.2,21.3,14.5,246.7
16,Bijan Robinson,RB,ATL,20.3,21.2,10,18.7,12,13,0,12.2,6,17.6,BYE,27.3,10.9,19.8,0.4,19.2,11.6,26.1,14.5,246.3
18,Josh Jacobs,RB,GB,9.1,9.9,11,27.9,20,11.3,5,16.8,22,12.7,6.1,22.5,-,7,-,-,-,-,13.9,181.1
19,James Cook,RB,BUF,10.3,19.9,13.2,14.7,5.1,7.1,19.2,8.3,7.9,12,19.2,16,BYE,25.1,36.1,5,5.4,8.2,13.7,232.7
20,Kenneth Walker III,RB,SEA,10.7,18.4,30.6,13.9,BYE,17.9,13,8,3,19.7,2.6,-,-,9.4,20.2,6.6,16.5,9.1,13.3,199.4
21,Brian Robinson Jr.,RB,SF,13.6,28.9,7,13.1,8.3,13.6,8.3,9.9,11.7,27.7,20.2,8.4,5.3,-,-,-,11.6,10.5,13.2,198.1
21,Austin Ekeler,RB,WAS,26.4,-,-,-,-,10.2,5.6,23.3,21,21.5,7,9.4,4.7,21,7.8,11.6,4,11.9,13.2,185.4
23,Tony Pollard,RB,TEN,22.2,19.9,15.1,9,8.4,17,BYE,6.5,9.3,5.5,18,22.3,17.3,16.6,7.7,5.3,5.9,16.6,13.1,222.6
24,D'Andre Swift,RB,CHI,1.3,27.1,14.8,17.9,16.8,17.8,10.5,14.4,9.4,-,19.7,9.4,4,3.9,9.5,15.2,7.6,-,12.5,199.3
25,Jerome Ford,RB,CLE,1.6,24.1,19.1,9.5,BYE,11.1,17,4.9,13,11.9,11.9,11.9,14.2,13.2,7.1,9.3,26.1,5.2,12.4,211.2
26,Aaron Jones Sr.,RB,MIN,26.7,-,-,2.4,-,-,8.7,8.6,17.9,9.4,2.7,-,BYE,-,10.9,14.5,14,19.1,12.3,134.9
27,Zack Moss,RB,FA,-,20.7,22.5,9,33.5,17.9,7.2,14.4,2.6,0.2,-,9,7.7,9.6,12.3,-,-,3,12.1,169.6
