#,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,AVG,TTL
1,Christian McCaffrey,RB,SF,15,23.2,22.7,24,26.1,27.9,24.1,39.1,9.8,34.3,17.6,35.1,27.2,17.4,BYE,15.7,32.6,25.1,376.8
2,Jahmyr Gibbs,RB,DET,15,15,19.4,26.9,17.7,16.7,7.5,36.8,BYE,5.8,38.2,19.6,55.4,11.6,37,9.8,22.8,22.7,340.2
3,Jonathan Taylor,RB,IND,15,12.8,29.5,32.8,14.6,31.6,23.7,34.2,37.4,7.7,49.6,BYE,8.6,15.1,11.4,13.1,16.9,22.6,339
4,Bijan Robinson,RB,ATL,15,24.4,19.8,16.1,28.1,BYE,35.8,21.2,5.8,17.6,10.8,30.3,14.7,30.3,9.4,29.5,29.8,21.6,323.6
5,De'Von Achane,RB,MIA,15,16.5,26.2,16.1,17.1,16.6,31,12.8,20.1,16.6,40.5,21.5,BYE,19.4,17.5,18.7,18,20.6,308.6
6,James Cook III,RB,BUF,15,21.2,26.5,20.8,22.5,4.9,8.7,BYE,33.6,13.5,10.7,20.4,21.9,18.7,11.1,31.1,26.4,19.5,292
9,Josh Jacobs,RB,GB,14,14,14.4,12.4,31.7,BYE,32,18.8,13.5,20,19.7,4,-,10.1,17.2,23.2,4.8,16.8,235.8
31,Cam Skattebo,RB,NYG,8,2.9,13.9,24.1,13,14.4,31,18.4,10,-,-,-,-,-,BYE,-,-,16,127.7
7,Travis Etienne Jr.,RB,JAC,15,18.6,16.9,11.6,19.5,8.8,9.5,6.5,BYE,16.5,15.7,19.3,20.6,5.1,21.2,31.5,16.6,15.9,237.9
8,Kyren Williams,RB,LAR,15,13.9,10,19.2,10.4,31.1,16.7,8.5,BYE,17.4,22.4,16.6,5.8,13.2,17.7,21.8,11.5,15.7,236.2
10,Chase Brown,RB,CIN,15,13.1,8.5,6,10.1,11.8,8.9,12,25.5,19.2,BYE,18.7,15,18.3,18.5,16,32.9,15.6,234.5
11,Javonte Williams,RB,DAL,15,20.4,25,12.2,19,26.9,8.4,18.8,17.9,7.3,BYE,10.3,12.1,17,14.7,15.1,6.3,15.4,231.4
12,Saquon Barkley,RB,PHI,15,18.4,17.4,9.5,17.4,17.8,8.7,5.2,33.4,BYE,13.1,10,12.4,5.6,18.2,17.2,21.2,15,225.5
