PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,#ERROR!
Malik Nabers,NYG,WR,6.8,2.6,9.2,40.42,7,8,87.5,171,2,15,6,9
Ricky Pearsall,SF,WR,5,3.1,13.1,39.69,8,10,80,141,1,5,3.9,0.6
Tee Higgins,CIN,WR,4.4,2,10.9,36.08,11,12,91.67,131,3,2,1.6,0.4
Puka Nacua,LAR,WR,6,2.9,5.5,39.15,10,14,71.43,129,0,7,4.6,2.6
Trey McBride,ARI,TE,3,3.2,5.4,29.3,12,16,75,123,1,6,6,0.1
Alec Pierce,IND,WR,3.9,1.7,21.4,51.96,6,9,66.67,122,1,3,3.1,-0.2
DeVonta Smith,PHI,WR,7.4,3.1,13.3,47.62,6,7,85.71,120,2,6,4.9,1.3
George Kittle,SF,TE,6.8,4.2,7.3,17.75,8,8,100,112,0,7,5.1,1.6
Adam Thielen,CAR,WR,6.5,2.2,19.3,37.87,5,6,83.33,110,2,2,2.5,-0.1
Michael Pittman,IND,WR,6.5,3,7.6,20.49,9,10,90,109,1,4.7,3.7,1
Drake London,ATL,WR,7.6,2.9,13.5,39.86,7,13,53.85,106,0,4,3.7,0
Tyreek Hill,MIA,WR,6.2,3.4,9.5,64.98,9,9,100,105,0,2,2.9,-0.7
Marvin Mims Jr.,DEN,WR,5.4,4.6,8.8,29.81,8,8,100,103,2,5.1,5.3,-0.3
Ja'Marr Chase,CIN,WR,4.4,2.7,7.8,32.29,9,15,60,102,0,4.2,3.1,1.1
Mike Evans,TB,WR,7.1,2.8,11.3,37.28,8,9,88.89,97,2,3,2.3,0.6
Marvin Harrison Jr.,ARI,WR,3.5,2.3,14.1,47.73,6,10,60,96,0,3.3,2.2,1
Jerry Jeudy,CLE,WR,7.1,3,6.3,55.23,12,18,66.67,94,0,2,3.2,-0.9
Ladd McConkey,LAC,WR,5.8,3.9,11.3,28.09,8,10,80,94,2,3,4,-0.6
Justin Jefferson,MIN,WR,5.7,4.1,7,23.89,8,11,72.73,92,0,8,7.2,0.8
Brian Thomas Jr.,JAX,WR,3,2.3,7.7,58.55,7,10,70,91,1,7,4.1,2.6
Mike Gesicki,CIN,TE,4.9,2.9,5.7,18.93,10,12,83.33,86,0,3.1,2.8,0.2
Olamide Zaccheaus,WAS,WR,7.5,3.9,6.1,22.67,8,9,88.89,85,1,6.6,4.3,2.3
Travis Kelce,KC,TE,6.6,4.3,5.9,29.74,8,11,72.73,84,1,6.7,7.7,-1
Calvin Ridley,TEN,WR,4.1,2.6,13.8,31.39,5,6,83.33,84,0,3.3,2.3,1
Jalen Nailor,MIN,WR,6.3,4.4,14.8,23.02,5,5,100,81,1,3,3,-0.5
Xavier Worthy,KC,WR,7.3,5.1,0.3,1.43,8,9,88.89,79,1,9,6.4,2.6
Jameson Williams,DET,WR,8.4,3.7,3,14.47,5,8,62.5,77,1,2.2,1.9,0.2
Brock Bowers,LV,TE,5.9,3.3,7.3,14.4,7,7,100,77,0,3.7,4.4,-0.8
Zach Ertz,WAS,TE,6.7,3.6,7.7,22.28,6,7,85.71,72,2,6.6,3.6,3
Wan'Dale Robinson,NYG,WR,6.4,5,9.3,30.61,5,6,83.33,71,1,5.8,1.1,4.7
Jordan Addison,MIN,WR,8.9,3.2,13.1,32.6,6,8,75,69,1,4.4,3.9,0.5
T.J. Hockenson,MIN,TE,6.3,4.3,10.4,19.37,5,6,83.33,68,0,4.8,5.4,-0.6
Jauan Jennings,SF,WR,4.9,2.7,10.7,32.52,7,10,70,67,0,1.6,1.8,-0.2
Juwan Johnson,NO,TE,5.7,3.1,9.3,37.29,6,10,60,66,0,5.5,4.2,1.3
Garrett Wilson,NYJ,WR,3.4,3.2,8.4,42.3,7,8,87.5,66,1,3.4,5.3,-1.9
Sam LaPorta,DET,TE,5.7,2.5,7,33.3,6,8,75,64,1,5,3.6,1.4
Jakobi Meyers,LV,WR,6.8,1.6,11.8,29.95,5,9,55.56,61,1,2.2,1.8,0.5
Amon-Ra St. Brown,DET,WR,6.7,3.9,6.5,38.88,8,10,80,60,1,2.3,2,0.2
Pat Freiermuth,PIT,TE,6,3.8,7.3,23.31,7,8,87.5,60,0,2.9,3.2,-0.3
Nico Collins,HOU,WR,5.5,2.3,19.7,40.05,3,6,50,59,0,5.9,4.8,1.2
Romeo Doubs,GB,WR,5.9,3.3,9.1,34.69,7,11,63.64,58,0,3.7,3.4,0.2
Tyler Conklin,NYJ,TE,7.8,4.9,1.7,8.66,8,8,100,57,1,5.4,6.7,-1.3
Courtland Sutton,DEN,WR,2.9,2.1,13.3,51.02,5,9,55.56,55,1,2.1,1.8,0.3
DJ Moore,CHI,WR,5.5,3.4,5.6,27.26,6,8,75,54,0,8.7,6.4,2.3
Brandin Cooks,DAL,WR,5.6,2.5,16.1,50.37,4,8,50,52,0,3.4,3.2,0.2
Jalen McMillan,TB,WR,8.7,5.2,7.5,13.75,5,5,100,51,2,4.1,4.4,-0.3
George Pickens,PIT,WR,5.2,2.4,14,39.15,3,7,42.86,50,0,5.7,3.8,1.9
Jordan Akins,CLE,TE,4.3,4.2,3.8,14.91,6,8,75,49,0,5.4,3.6,1.8
