PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
Kyle Monangai,CHI,2.92,11.54,2.6,26,176,59,6.8,2.47,54.2,0
Rico Dowdle,CAR,2.85,32,2.78,25,130,44,5.2,1.75,48,2
Derrick Henry,BAL,2.79,57.89,2.84,19,119,36,6.3,1.89,42.1,0
Kyren Williams,LAR,3.63,16,2.73,25,114,21,4.6,0.84,52,1
James Cook,BUF,3.89,18.52,2.36,27,114,-4,4.2,-0.14,37,0
Christian McCaffrey,SF,4.74,21.43,2.69,28,106,-16,3.8,-0.63,30.8,1
Josh Jacobs,GB,3.06,11.76,2.59,17,87,14,5.1,0.84,47.1,1
Travis Etienne,JAX,4.15,45.45,2.92,22,84,4,3.8,0.19,52.4,0
Javonte Williams,DAL,3.09,26.67,3.03,15,83,13,5.5,0.88,40,0
Emari Demercado,AZ,3.54,28.57,3.44,14,79,11,5.6,0.8,50,0
De'Von Achane,MIA,4.01,35.71,2.8,14,67,17,4.8,1.23,42.9,0
Chris Rodriguez Jr.,WAS,2.76,16.67,2.43,12,65,9,5.4,0.75,66.7,1
J.K. Dobbins,DEN,4.31,33.33,2.87,15,61,1,4.1,0.06,33.3,0
Blake Corum,LAR,4.91,7.69,3.38,13,58,-2,4.5,-0.19,30.8,0
Tony Pollard,TEN,3.24,40,2.75,10,56,13,5.6,1.35,60,0
TreVeyon Henderson,NE,3.89,7.14,2.7,14,55,-6,3.9,-0.46,42.9,0
Kareem Hunt,KC,3.27,18.18,2.38,11,49,6,4.5,0.51,63.6,1
Bijan Robinson,ATL,5.5,--,3.47,12,46,-20,3.8,-1.64,25,0
Jonathan Taylor,IND,4.4,14.29,2.81,14,45,-9,3.2,-0.66,50,0
Ashton Jeanty,LV,4.39,23.08,3.09,13,42,-9,3.2,-0.68,23.1,0
Kenneth Walker III,SEA,5.13,27.27,3.29,11,42,-15,3.8,-1.51,30,0
David Montgomery,DET,4.74,27.27,2.52,11,40,-4,3.6,-0.39,27.3,1
Jacory Croskey-Merritt,WAS,4.62,--,3,12,38,-14,3.2,-1.16,41.7,0
Chase Brown,CIN,3.46,36.36,2.31,11,37,0,3.4,-0.01,45.5,0
Jordan Mason,MIN,5.22,80,3.04,10,36,-3,3.6,-0.33,33.3,0
Terrell Jennings,NE,3.75,36.36,2.59,11,35,-3,3.2,-0.29,36.4,1
Nick Chubb,HOU,4.07,36.36,2.5,11,34,-5,3.1,-0.47,30,0
Jaylen Warren,PIT,7.75,25,3.13,16,31,-14,1.9,-0.88,18.8,2
Kimani Vidal,LAC,4.94,41.67,2.66,12,30,-7,2.5,-0.67,45.5,0
Woody Marks,HOU,4.94,10,2.97,10,27,-12,2.7,-1.2,40,0
