#,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
1,Puka Nacua,WR,LAR,15,23.1,27.6,22.8,36,24.5,4.8,-,BYE,22.8,17.4,14.3,16.7,13.2,35.7,27.9,46.5,15.7,23.3,349
2,Jaxon Smith-Njigba,WR,SEA,16,19.4,18.3,20.6,13,27.2,30.2,26.3,BYE,22,20.3,20.6,37.1,4.3,28.1,18.3,23.6,16.2,21.6,345.5
3,Ja'Marr Chase,WR,CIN,15,4.6,36.5,8.9,7.3,29,25.1,38.1,21.1,17.1,BYE,6,-,18,10.2,23.2,19.9,25,19.3,290
4,Rashee Rice,WR,KC,8,-,-,-,-,-,-,23.2,25.5,18.6,BYE,9.8,24.1,29.4,7.4,12.1,-,-,18.8,150.1
5,Amon-Ra St. Brown,WR,DET,16,8.5,39.2,20.7,26,18,13.7,20.6,BYE,18.7,16.8,6.2,29.9,0,15.2,41.4,9.4,14.8,18.7,299.1
6,George Pickens,WR,DAL,16,6,17.8,17.8,33.4,13.7,31.8,12.2,14.8,13.9,BYE,29.4,29.6,16.8,8.7,6.3,26,11.8,18.1,290
7,Chris Olave,WR,NO,16,12.4,11.4,15.7,10,12.9,15.8,26.8,14,8.7,21.4,BYE,16,14.7,6,20.5,36.8,25.9,16.8,269
8,Drake London,WR,ATL,11,13.5,5.9,10.5,25,BYE,31.8,8.2,-,38.8,24.4,18.9,-,-,-,-,5.7,1.4,16.7,184.1
9,Davante Adams,WR,LAR,14,9.1,22.6,14.6,15.6,13.8,7.9,26.5,BYE,23,19.7,7.1,23.2,21.8,6.9,11.1,-,-,15.9,222.9
10,CeeDee Lamb,WR,DAL,13,18,20.2,0,-,-,-,22,14.6,15.5,BYE,17.6,11.5,24.2,18.1,17.1,11.1,9.6,15.3,199.5
11,Nico Collins,WR,HOU,15,5.5,14.2,22.4,11.9,16,BYE,6.7,-,14.5,22.6,24.2,8.5,21.5,16.1,23.5,9.9,8.7,15.1,226.2
12,A.J. Brown,WR,PHI,15,1.8,7.7,22.9,2.7,9.3,14,28.1,-,BYE,3.3,11.9,25,35.2,16,12.1,18.5,11.8,14.7,220.3
13,Malik Nabers,WR,NYG,4,12.1,37.7,3.3,4,-,-,-,-,-,-,-,-,-,BYE,-,-,-,14.3,57.1
14,Garrett Wilson,WR,NYJ,7,22.5,9,24.4,20.2,19.1,4.3,-,-,BYE,0,-,-,-,-,-,-,-,14.2,99.5
15,Tee Higgins,WR,CIN,14,6.3,14.6,2.5,6.2,11.2,11.2,21.6,11.4,33.1,BYE,15.3,8.1,-,27.2,-,14.3,9.9,13.8,192.9
16,Courtland Sutton,WR,DEN,16,18.1,1.6,23.8,19.1,17.9,2.7,16.7,10.7,10,5.4,9.9,BYE,17.2,12.2,24.3,20.6,8,13.6,218.2
16,Wan'Dale Robinson,WR,NYG,16,11.5,28.2,3.6,4.4,8.2,20.4,15.5,7.8,13.6,12.2,7.6,30.6,10.4,BYE,16.4,5.2,22.3,13.6,217.9
18,Tyreek Hill,WR,MIA,4,8,16.9,15.9,12.7,-,-,-,-,-,-,-,BYE,-,-,-,-,-,13.4,53.5
19,Zay Flowers,WR,BAL,16,28.1,14.9,3.3,14.4,12.2,8.6,BYE,14.1,11.4,12.1,11.3,11.9,0.6,20.6,15.8,21.2,13,13.3,213.5
20,Christian Watson,WR,GB,10,-,-,-,-,BYE,-,-,12.5,7.8,6.5,20.6,9.9,18.3,24.9,5.9,3.7,22.3,13.2,132.4
21,Jameson Williams,WR,DET,16,6.6,18.8,6.3,5.7,2,18.6,0,BYE,16.6,23.9,19.7,0,26.9,17.3,26.4,12,5.7,12.9,206.5
22,Stefon Diggs,WR,NE,16,11.7,7.2,5.3,16.1,24.6,5.8,13.9,10.4,12.8,15.6,19.5,4,5.6,BYE,5.6,22.8,22.1,12.7,203
23,Tetairoa McMillan,WR,CAR,16,11.8,16,7.8,10.2,13.3,17.9,6.3,16.9,8.6,11,33,11.5,11.3,BYE,4.5,19.3,1.5,12.6,200.9
24,Michael Wilson,WR,ARI,16,1.5,8.1,1.5,4.5,3.6,8.4,7,BYE,9.1,7.4,33.5,21.8,6.6,37.2,16.4,13.2,19.9,12.5,199.7
24,Michael Pittman Jr.,WR,IND,16,20,8,19.3,15.1,14.9,4,20.8,23.5,20.5,3.9,BYE,13.7,2.3,16.9,5.6,7.2,3.6,12.5,199.3
24,DK Metcalf,WR,PIT,15,12.3,11,12.2,23.6,BYE,19.5,8,16.5,2.6,6.5,9.9,14.4,6.2,21.8,14.5,8.2,-,12.5,187.2
27,Deebo Samuel Sr.,WR,WAS,15,22.6,17.4,4.9,20.1,23.6,5.4,-,4.2,9.4,12.9,20.7,BYE,11.1,6.7,7.3,6.5,11.3,12.3,184.1
28,Quentin Johnston,WR,LAC,14,24.9,15.9,14.9,23.8,6.9,-,11,0,15.3,9.2,0,BYE,11.3,2.8,-,20.4,14.8,12.2,171.2
28,Rome Odunze,WR,CHI,12,15.7,31.8,15.2,16.9,BYE,5.2,5.1,18.4,0,20.6,6.1,8.3,2.8,-,-,-,-,12.2,146.1
30,Jaylen Waddle,WR,MIA,16,7,17.8,14.9,7.8,23,15.8,2.5,20.9,14.2,19.4,8.2,BYE,7,18.1,4.6,12.2,0.7,12.1,194.1
30,Emeka Egbuka,WR,TB,16,23.6,12.9,14.5,20.1,31.3,4.4,9.8,6.5,BYE,23.5,9,6.2,8.2,3.5,10.4,5,5,12.1,193.9
30,DeVonta Smith,WR,PHI,16,4.6,9.3,20,4.9,19.4,8.9,33.3,14.4,BYE,16.9,1.8,14.9,9.8,7.7,7,16.2,4.5,12.1,193.6
33,Jauan Jennings,WR,SF,14,3.6,19.9,-,6.4,-,1.7,7.1,8.5,14.1,17.1,9.4,15.1,13.9,BYE,18.7,18.1,12.2,11.8,165.8
34,Terry McLaurin,WR,WAS,9,4.7,9.8,10.4,-,-,-,-,14.4,-,-,-,BYE,22.6,7.1,15.9,8.3,11.3,11.6,104.5
35,Justin Jefferson,WR,MIN,16,14.8,11.1,12.5,22.6,19.3,BYE,12.9,14.4,16.7,7.7,11.1,8.8,2.4,3.1,4.2,14.5,7,11.4,183.1
36,Ladd McConkey,WR,LAC,16,13.4,9.8,8.1,2.1,14.9,23,15.7,20.8,9.6,20.7,4.3,BYE,13.9,2.2,4,14.3,4.1,11.3,180.9
36,Mike Evans,WR,TB,7,10.1,10.6,13.3,-,-,-,0,-,BYE,-,-,-,-,-,19.2,14.1,12.1,11.3,79.4
38,Troy Franklin,WR,DEN,16,8.4,24,2.8,9.5,8.5,3.1,12.9,26.9,8.3,15,12.4,BYE,4.1,4.1,20.8,10.6,5.7,11.1,177.1
38,Jakobi Meyers,WR,JAC,15,17.7,12.8,9.3,7,7.2,7.9,-,BYE,6.3,7.1,11.4,15,21.3,14.8,12.1,8.6,7.9,11.1,166.4
40,Parker Washington,WR,JAC,15,0,12.6,7.4,5.9,9.6,4.9,10.2,BYE,17,17.9,4,18.1,3.6,-,8.3,26.5,19,11,165
40,Alec Pierce,WR,IND,14,4.6,10.8,10.7,-,-,6.8,14.8,8.9,17.5,18.4,BYE,3.6,17.8,13,2.6,24.6,0,11,154.1
42,Keenan Allen,WR,LAC,16,19.8,17.1,19.5,8.7,10.8,6.7,28.9,8.4,6.1,3.9,9.3,BYE,7,5.2,8.6,9.4,2.7,10.8,172.1
