PLAYER,BASE_PREDICTION,ADJUSTED_BASE,ENHANCED_PREDICTION,MINIMAX_PREDICTION,MARKOV_PREDICTION,PERFORMANCE_PENALTY,ABSENCE_PENALTY,TOTAL_ADJUSTMENT,RECENT_PPR_AVG,RECENT_PPR_STD,DATA_QUALITY,MAX_REGRET_SCENARIO,CURRENT_STATE,RECENT_WEEKS,RANK
Jahmyr Gibbs,15.966666666666667,23.914,24.97256666666667,31.740000000000002,21.936,7.947333333333333,0.0,7.947333333333333,25.025,17.136573253049832,1.0,best,3,8,1
Christian McCaffrey,17.1,23.05,21.684166666666666,24.3,18.466666666666665,5.949999999999999,0.0,5.949999999999999,23.7125,9.767941368140402,1.0,best,4,8,2
Bijan Robinson,15.5,20.568,19.98855,21.42,19.255,5.068000000000001,0.0,5.068000000000001,21.55,9.335798994041317,1.0,best,4,8,3
Chase Brown,13.733333333333334,18.217999999999996,19.157133333333334,21.4,19.950000000000003,4.484666666666664,0.0,4.484666666666664,20.5125,5.89223156852672,1.0,best,4,8,4
De'Von Achane,18.166666666666668,18.166666666666668,18.166666666666668,18.166666666666668,18.166666666666668,0.0,-6.0,-6.0,0.0,0.0,0.0,none,2,0,5
Derrick Henry,19.733333333333334,17.708,18.037133333333333,15.84,20.456,-2.025333333333334,0.0,-2.025333333333334,16.112499999999997,5.353086559573431,1.0,worst,3,8,6
Cam Skattebo,18.233333333333334,17.622,16.961366666666667,23.34,7.873333333333333,-0.6113333333333344,0.0,-0.6113333333333344,15.9625,8.618408454332753,0.8,best,0,8,7
Ashton Jeanty,13.3,15.568,16.921300000000002,20.700000000000003,15.73,2.267999999999999,0.0,2.267999999999999,15.912500000000001,8.99498868418251,0.8,best,4,8,8
Jaylen Warren,18.03333333333333,16.232000000000003,16.734033333333333,22.46,10.046,-1.8013333333333301,0.0,-1.8013333333333301,14.25,6.722032005704398,1.0,best,4,8,9
Saquon Barkley,22.06666666666667,17.064000000000004,16.33056666666667,15.480000000000002,14.030000000000001,-5.002666666666667,0.0,-5.002666666666667,16.3875,8.45499640956247,1.0,worst,3,8,10
D'Andre Swift,16.3,16.3,16.3,16.3,16.3,0.0,-6.0,-6.0,0.0,0.0,0.0,none,2,0,11
Omarion Hampton,13.733333333333334,15.208,16.061133333333334,19.240000000000002,14.372,1.474666666666666,0.0,1.474666666666666,14.4625,8.404070017386983,0.8,best,3,8,12
Patrick Taylor,15.9,15.9,15.9,15.9,15.9,0.0,-6.0,-6.0,0.0,0.0,0.0,none,2,0,13
Tony Pollard,23.233333333333334,16.756,15.828433333333335,16.060000000000002,11.29,-6.477333333333333,0.0,-6.477333333333333,11.2,7.990708890419459,1.0,worst,2,8,14
RJ Harvey,18.833333333333336,17.382,15.745783333333335,14.5,13.715000000000002,-1.4513333333333338,0.0,-1.4513333333333338,16.0375,7.646649593122468,0.8,worst,4,8,15
Kenneth Gainwell,18.03333333333333,17.212,15.24353333333333,13.419999999999998,13.559999999999999,-0.8213333333333324,0.0,-0.8213333333333324,15.450000000000001,9.317265080023676,1.0,worst,4,8,16
Kyren Williams,18.733333333333334,15.42,15.225833333333332,13.56,15.549999999999999,-3.313333333333334,0.0,-3.313333333333334,15.799999999999999,5.498311429105173,1.0,worst,1,8,17
