player,base_prediction,adjusted_base,enhanced_prediction,minimax_adjustment,markov_adjustment,performance_penalty,passing_consistency,absence_penalty,total_adjustment,latest_week
Trevor Lawrence,17.71771908938643,25.30202977234661,25.30202977234661,-0.03068595446932161,0.4794000000000002,6.7355966374295,0.4,0.0,7.584310682960179,27
Jared Goff,21.409697767668238,23.848485047977668,23.848485047977668,-0.12351519141371502,1.7690909090909095,-0.006788437367764999,0.8,0.0,2.4387872803094295,35
Brock Purdy,19.18791534825271,20.550269159643822,20.550269159643822,-0.015040928702958034,0.1369354838709679,1.2404592562231018,0.0,0.0,1.3623538113911118,35
Bryce Young,18.021184342401497,20.242259048563337,20.242259048563337,-0.28754069860155645,1.0594444444444444,1.0491709603189516,0.4,0.0,2.2210747061618394,35
Joe Burrow,18.808123429388623,19.69757794131954,19.69757794131954,0.03691014327218752,0.884230769230769,-0.8316864005720376,0.8,0.0,0.8894545119309191,35
Matthew Stafford,16.23845693023025,19.490904555138208,19.490904555138208,-0.042568007801835075,-1.0880645161290323,4.383080148838825,0.0,0.0,3.252447624907958,35
Bo Nix,18.919719180958495,19.490054795239622,19.490054795239622,-0.02504845904792461,0.2571874999999995,-0.46180342667094787,0.8,0.0,0.5703356142811271,35
Jalen Hurts,20.959553147836964,19.18327934991598,19.18327934991598,0.03541340556489121,0.1739999999999995,-1.3856872034858743,-0.6,0.0,-1.7762737979209837,33
Jayden Daniels,22.722014262968944,19.151343851001613,19.151343851001613,0.029739572110931718,1.0829999999999997,-5.083409984078261,0.4,0.0,-3.57067041196733,35
Drake Maye,18.66005820621085,19.14401455155271,19.14401455155271,-0.06550291031054237,-0.26250000000000023,0.8119592556524061,0.0,0.0,0.4839563453418635,35
Josh Allen,14.780018836380613,18.499241449459127,18.499241449459127,0.2806903439994907,0.2045454545454545,3.2339868145335697,0.0,0.0,3.719222613078515,35
Dak Prescott,16.775318143028496,18.482495898617692,18.482495898617692,0.06770045570914511,-1.1998,2.439277299880051,0.4,0.0,1.7071777555891963,27
Sam Darnold,19.991489236937248,17.65949730923431,17.65949730923431,-0.02488696184686248,0.12093749999999978,-3.228042465856074,0.8,0.0,-2.331991927702937,35
Kyler Murray,19.275376008364713,17.606677335424514,17.606677335424514,-0.06418546708490247,-0.22374999999999953,-2.180763205855296,0.8,0.0,-1.668698672940198,35
Baker Mayfield,21.156873094940458,17.326945546462387,17.326945546462387,-0.08420729111065928,1.4240909090909093,-5.5698111664583205,0.4,0.0,-3.82992754847807,35
