player,base_prediction,adjusted_base,enhanced_prediction,minimax_adjustment,performance_penalty,volume_consistency,absence_penalty,total_adjustment,prob_lt5,prob_5_10,prob_10_15,prob_15_20,prob_20_25,prob_25_30,prob_30plus,prob_ge8,prob_ge10,prob_ge12,prob_ge15,prob_ge18,prob_ge20,prob_ge25,prob_ge30,p10,p25,p50,p75,p90,mean,std,latest_week
Puka Nacua,19.429216296026087,27.004514600322313,26.39855637362769,0.1877497115144852,5.887548592781741,1.5,0.0,7.575298304296226,0.0068,0.0225,0.0641,0.1368,0.2045,0.2287,0.3366,0.9841,0.9707,0.9508,0.9066,0.8347,0.7698,0.5653,0.3366,15.309233258799487,20.549686959847357,26.39855637362769,32.195539107422846,37.447385208559496,26.400649812173878,8.653604856344563,16
Jaxon Smith-Njigba,20.12979408059197,25.155158816118394,24.36688108208861,-0.06577940805919695,3.591144143585621,1.5,0.0,5.0253647355264235,0.0175,0.0426,0.0947,0.1627,0.2101,0.2007,0.2717,0.961,0.9399,0.9085,0.8452,0.7529,0.6825,0.4724,0.2717,12.450451430957866,18.092085406235093,24.36688108208861,30.584619857716646,36.26665148250234,24.39760641160061,9.245157969871729,16
Amon-Ra St. Brown,24.099605141976102,22.685459489933685,22.689347935782806,-0.3384220526591488,-2.575723599383268,1.5,0.0,-1.414145652042417,0.0249,0.0555,0.1158,0.1841,0.2228,0.1876,0.2093,0.9496,0.9196,0.8819,0.8038,0.6976,0.6197,0.3969,0.2093,11.165380825703224,16.55908611342604,22.689347935782806,28.632099645346273,34.34960184378907,22.702038627210044,8.990177566348596,16
Trey McBride,17.92522838472639,20.049191711566216,20.1366073058664,0.011623196148295989,0.6123401306915311,1.5,0.0,2.123963326839827,0.0527,0.083,0.1537,0.2044,0.2096,0.1521,0.1445,0.904,0.8643,0.8113,0.7106,0.5916,0.5062,0.2966,0.1445,8.253428818745462,13.890879569613169,20.1366073058664,26.366597762368777,32.04784557708372,20.21023573949492,9.160981632459613,16
Jameson Williams,17.098047220759526,20.606720555263017,20.062982512581975,-0.0786936109648412,2.0873669454683332,1.5,0.0,3.508673334503492,0.0456,0.086,0.1569,0.2091,0.2203,0.1508,0.1313,0.9116,0.8684,0.8155,0.7115,0.5914,0.5024,0.2821,0.1313,8.609488388377873,13.969650067925418,20.062982512581975,25.96460847516063,31.53275968422899,20.05156365360898,8.835909385179505,16
Kyle Pitts,13.212257546126772,19.37778660875392,19.079781113647286,0.05410934491588364,4.611419717711263,1.5,0.0,6.165529062627146,0.0679,0.0998,0.1636,0.2055,0.1985,0.1408,0.1239,0.8793,0.8323,0.7741,0.6687,0.5456,0.4632,0.2647,0.1239,6.913167713846165,12.705908670064488,19.079781113647286,25.40840241935701,31.256183032101447,19.163733033330775,9.26890793447077,16
Ja'Marr Chase,21.90261128304261,18.83047424933208,19.027168457141673,0.04969086441929793,-4.621827898129826,1.5,0.0,-3.0721370337105283,0.0767,0.1014,0.1611,0.1986,0.1904,0.1375,0.1343,0.8691,0.8219,0.7609,0.6608,0.5431,0.4622,0.2718,0.1343,6.3324462867852755,12.35790355618703,19.027168457141673,25.71571064780541,31.811989258338535,19.151815914125738,9.663982252626237,16
George Kittle,15.778472534284186,19.408618133571046,18.90371561251753,0.16507637328579064,2.4650692260010705,1.0,0.0,3.630145599286861,0.0598,0.0993,0.171,0.22,0.2074,0.1377,0.1048,0.8897,0.8409,0.7814,0.6699,0.538,0.4499,0.2425,0.1048,7.49325159116678,12.880058213800611,18.90371561251753,24.798372273343197,30.273512328348403,18.915765487013,8.735682865632668,16
Courtland Sutton,17.440610635680944,18.41070546046952,18.795070650004565,-0.10947773023476089,-0.42042744497666323,1.5,0.0,0.9700948247885759,0.0691,0.1025,0.1685,0.2102,0.2002,0.137,0.1125,0.8765,0.8284,0.7679,0.6599,0.5327,0.4497,0.2495,0.1125,6.845104804901663,12.509887953392381,18.795070650004565,24.991982646710273,30.659088121061906,18.840374476551816,9.100501656164255,16
George Pickens,14.200063929869444,17.822537721597797,18.59793001768014,0.10651854263696273,2.0159552490913906,1.5,0.0,3.6224737917283534,0.0748,0.1061,0.1679,0.2134,0.1946,0.1334,0.1098,0.8694,0.8191,0.7584,0.6512,0.523,0.4378,0.2432,0.1098,6.580504730136972,12.249931611995828,18.59793001768014,24.76862768762464,30.4998680366303,18.615639005500714,9.123996283624823,16
